assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
86160125,22692676,Porzana porzana,15.1,Artificial/Aquatic - Water Storage Areas (over 8ha),No,breeding,Suitable
86160125,22692676,Porzana porzana,15.6,Artificial/Aquatic - Wastewater Treatment Areas,No,breeding,Suitable
86160125,22692676,Porzana porzana,15.8,Artificial/Aquatic - Seasonally Flooded Agricultural Land,No,breeding,Suitable
86160125,22692676,Porzana porzana,15.9,"Artificial/Aquatic - Canals and Drainage Channels, Ditches",No,breeding,Suitable
86160125,22692676,Porzana porzana,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,No,breeding,Suitable
86160125,22692676,Porzana porzana,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,breeding,Suitable
86162074,22692663,Zapornia parva,15.6,Artificial/Aquatic - Wastewater Treatment Areas,No,non-breeding,Suitable
86162074,22692663,Zapornia parva,15.7,Artificial/Aquatic - Irrigated Land (includes irrigation channels),No,breeding,Suitable
86162074,22692663,Zapornia parva,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,No,non-breeding,Suitable
86162074,22692663,Zapornia parva,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,breeding,Suitable
86162074,22692663,Zapornia parva,5.3,Wetlands (inland) - Shrub Dominated Wetlands,No,breeding,Suitable
86162074,22692663,Zapornia parva,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,breeding,Suitable
86162074,22692663,Zapornia parva,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,breeding,Suitable
86162074,22692663,Zapornia parva,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),No,breeding,Suitable
86162074,22692663,Zapornia parva,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),No,breeding,Suitable
86219168,22692146,Grus grus,12.4,Marine Intertidal - Mud Flats and Salt Flats,No,non-breeding,Suitable
86219168,22692146,Grus grus,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),No,breeding,Suitable
86219168,22692146,Grus grus,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,non-breeding,Suitable
86219168,22692146,Grus grus,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,breeding,Suitable
86219168,22692146,Grus grus,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,non-breeding,Suitable
86219168,22692146,Grus grus,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,No,non-breeding,Suitable
86219168,22692146,Grus grus,2.1,Savanna - Dry,No,non-breeding,Suitable
86219168,22692146,Grus grus,15.7,Artificial/Aquatic - Irrigated Land (includes irrigation channels),No,breeding,Suitable
86219168,22692146,Grus grus,14.2,Artificial/Terrestrial - Pastureland,No,non-breeding,Suitable
86219168,22692146,Grus grus,14.1,Artificial/Terrestrial - Arable Land,No,non-breeding,Suitable
86248677,22697691,Ciconia ciconia,4.4,Grassland - Temperate,Yes,non-breeding,Suitable
86248677,22697691,Ciconia ciconia,14.2,Artificial/Terrestrial - Pastureland,Yes,non-breeding,Suitable
86438000,22697346,Botaurus stellaris,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,non-breeding,Suitable
86438000,22697346,Botaurus stellaris,14.1,Artificial/Terrestrial - Arable Land,No,non-breeding,Suitable
86473701,62774969,Egretta garzetta,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,No,resident,Suitable
86473701,62774969,Egretta garzetta,12.6,Marine Intertidal - Tidepools,No,resident,Suitable
86473701,62774969,Egretta garzetta,12.4,Marine Intertidal - Mud Flats and Salt Flats,No,resident,Suitable
86473701,62774969,Egretta garzetta,12.3,Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches,No,resident,Suitable
86473701,62774969,Egretta garzetta,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",No,resident,Suitable
86473701,62774969,Egretta garzetta,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),No,resident,Suitable
86473701,62774969,Egretta garzetta,5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),No,resident,Suitable
86473701,62774969,Egretta garzetta,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Yes,non-breeding,Suitable
86473701,62774969,Egretta garzetta,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,non-breeding,Suitable
86473701,62774969,Egretta garzetta,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,Yes,non-breeding,Suitable
86473701,62774969,Egretta garzetta,15.9,"Artificial/Aquatic - Canals and Drainage Channels, Ditches",No,resident,Suitable
86473701,62774969,Egretta garzetta,15.8,Artificial/Aquatic - Seasonally Flooded Agricultural Land,No,resident,Suitable
86473701,62774969,Egretta garzetta,15.2,Artificial/Aquatic - Ponds (below 8ha),No,resident,Suitable
86473701,62774969,Egretta garzetta,13.5,Marine Coastal/Supratidal - Coastal Freshwater Lakes,No,resident,Suitable
86473701,62774969,Egretta garzetta,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,No,resident,Suitable
86473701,62774969,Egretta garzetta,5.14,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes",No,resident,Suitable
86473701,62774969,Egretta garzetta,5.15,"Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats",No,resident,Suitable
86473701,62774969,Egretta garzetta,9.8.1,Outer Reef Channel,No,resident,Suitable
86473701,62774969,Egretta garzetta,9.8.2,Back Slope,No,resident,Suitable
86473701,62774969,Egretta garzetta,9.8.3,Foreslope (Outer Reef Slope),No,resident,Suitable
86473701,62774969,Egretta garzetta,9.8.4,Lagoon,No,resident,Suitable
86473701,62774969,Egretta garzetta,9.8.5,Inter-Reef Soft Substrate,No,resident,Suitable
86473701,62774969,Egretta garzetta,9.8.6,Inter-Reef Rubble Substrate,No,resident,Suitable
86473701,62774969,Egretta garzetta,9.10,Marine Neritic - Estuaries,Yes,breeding,Suitable
86473701,62774969,Egretta garzetta,1.7,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,breeding,Suitable
86551440,22693727,Pluvialis apricaria,9.10,Marine Neritic - Estuaries,No,non-breeding,Suitable
86551440,22693727,Pluvialis apricaria,5.10,Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt),No,breeding,Suitable
86551440,22693727,Pluvialis apricaria,4.4,Grassland - Temperate,No,breeding,Suitable
86551440,22693727,Pluvialis apricaria,4.1,Grassland - Tundra,Yes,breeding,Suitable
86551440,22693727,Pluvialis apricaria,3.3,Shrubland - Boreal,No,breeding,Suitable
86551440,22693727,Pluvialis apricaria,14.2,Artificial/Terrestrial - Pastureland,No,non-breeding,Suitable
86551440,22693727,Pluvialis apricaria,14.1,Artificial/Terrestrial - Arable Land,No,non-breeding,Suitable
86574443,22693906,Eudromias morinellus,4.4,Grassland - Temperate,No,non-breeding,Suitable
86574443,22693906,Eudromias morinellus,4.1,Grassland - Tundra,No,breeding,Suitable
86574443,22693906,Eudromias morinellus,3.5,Shrubland - Subtropical/Tropical Dry,No,non-breeding,Suitable
86574443,22693906,Eudromias morinellus,14.1,Artificial/Terrestrial - Arable Land,No,non-breeding,Suitable
86582288,22693983,Vanellus spinosus,12.4,Marine Intertidal - Mud Flats and Salt Flats,No,non-breeding,Suitable
86582288,22693983,Vanellus spinosus,12.3,Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches,No,non-breeding,Suitable
86582288,22693983,Vanellus spinosus,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",No,non-breeding,Suitable
86582288,22693983,Vanellus spinosus,5.15,"Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats",No,non-breeding,Suitable
86582288,22693983,Vanellus spinosus,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),No,non-breeding,Suitable
86582288,22693983,Vanellus spinosus,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,non-breeding,Suitable
86582288,22693983,Vanellus spinosus,13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,No,breeding,Suitable
86582288,22693983,Vanellus spinosus,14.1,Artificial/Terrestrial - Arable Land,No,breeding,Suitable
86582288,22693983,Vanellus spinosus,15.2,Artificial/Aquatic - Ponds (below 8ha),No,breeding,Suitable
86582288,22693983,Vanellus spinosus,4.4,Grassland - Temperate,No,breeding,Suitable
86582288,22693983,Vanellus spinosus,4.5,Grassland - Subtropical/Tropical Dry,No,breeding,Suitable
86582288,22693983,Vanellus spinosus,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,breeding,Suitable
86585436,22693178,Numenius phaeopus,12.6,Marine Intertidal - Tidepools,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,12.4,Marine Intertidal - Mud Flats and Salt Flats,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,12.1,Marine Intertidal - Rocky Shoreline,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,1.7,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,9.10,Marine Neritic - Estuaries,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,9.8.6,Inter-Reef Rubble Substrate,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,9.8.5,Inter-Reef Soft Substrate,No,non-breeding,Suitable
